Location Name: Corporation Water,,
Date,Time,Totalizer
01-06-2025,20:40:00,530730.19
01-06-2025,20:45:00,530736.13
01-06-2025,20:50:00,530742.68
01-06-2025,20:55:00,530749.21
01-06-2025,21:00:00,530755.72
01-06-2025,21:05:00,530761.76
01-06-2025,21:10:00,530768.38
01-06-2025,21:15:00,530774.92
01-06-2025,21:20:00,530781.21
01-06-2025,21:25:00,530787.4
01-06-2025,21:30:00,530794.19
01-06-2025,21:35:00,530800.78
01-06-2025,21:40:00,530806.87
01-06-2025,21:45:00,530812.85
01-06-2025,21:50:00,530819.34
01-06-2025,21:55:00,530825.96
01-06-2025,22:00:00,530832.45
01-06-2025,22:05:00,530833.08
01-06-2025,22:10:00,530833.86
01-06-2025,22:15:00,530835.05
01-06-2025,22:20:00,530835.54
01-06-2025,22:25:00,530836.71
01-06-2025,22:30:00,530837.04
01-06-2025,22:35:00,530838.03
01-06-2025,22:40:00,530838.5
01-06-2025,22:45:00,530839.14
01-06-2025,22:50:00,530839.4
01-06-2025,22:55:00,530839.94
01-06-2025,23:00:00,530840.2
01-06-2025,23:05:00,530841.05
01-06-2025,23:10:00,530841.71
01-06-2025,23:15:00,530842.74
01-06-2025,23:20:00,530843.02
01-06-2025,23:25:00,530843.71
01-06-2025,23:30:00,530844.91
01-06-2025,23:35:00,530845.63
01-06-2025,23:40:00,530846.46
01-06-2025,23:45:00,530847.08
01-06-2025,23:50:00,530847.35
01-06-2025,23:55:00,530847.66
 ,,
02-06-2025,00:00:00,530848.27
02-06-2025,00:05:00,530848.89
02-06-2025,00:10:00,530849.81
02-06-2025,00:15:00,530850.61
02-06-2025,00:20:00,530851.03
02-06-2025,00:25:00,530851.24
02-06-2025,00:30:00,530851.96
02-06-2025,00:35:00,530853
02-06-2025,00:40:00,530853.55
02-06-2025,00:45:00,530854.52
02-06-2025,00:50:00,530854.87
02-06-2025,00:55:00,530855.71
02-06-2025,01:00:00,530855.91
02-06-2025,01:05:00,530856.82
02-06-2025,01:10:00,530857.67
02-06-2025,01:15:00,530858.79
02-06-2025,01:20:00,530859
02-06-2025,01:25:00,530859.47
02-06-2025,01:30:00,530860.19
02-06-2025,01:35:00,530860.5
02-06-2025,01:40:00,530865.59
02-06-2025,01:45:00,530869.95
02-06-2025,01:50:00,530874.28
02-06-2025,01:55:00,530879.19
